id,tên 
1,Ferrari 2022
2,Ferrari 458
3,Ferrari 488 Pista
4,Ferrari LaFerrari
5,Kia Morning
6,Kia Soluto
7,Kia Cerato
8,Kia Seltos
9,Toyota Fortune
10,Toyota Land Cruiser Prado
11,Toyota Camry
12,Toyota Rush
13,Ford Mustang
14,Ford EcoSport
15,Ford Everest
16,Ford Monde
17,Honda Civic
18,Honda Jazz
19,Honda Accord
20,Honda City
21,Mazda 2
22,Mazda 3
23,Mazda 6
24,Mazda BT-50
25,BMW X4
26,BMW X5
27,BMW X6
28,BMW X7
